OID_ZCTA5_20|GEOID_ZCTA5_20|NAMELSAD_ZCTA5_20|AREALAND_ZCTA5_20|AREAWATER_ZCTA5_20|MTFCC_ZCTA5_20|CLASSFP_ZCTA5_20|FUNCSTAT_ZCTA5_20|OID_PLACE_20|GEOID_PLACE_20|NAMELSAD_PLACE_20|AREALAND_PLACE_20|AREAWATER_PLACE_20|MTFCC_PLACE_20|CLASSFP_PLACE_20|FUNCSTAT_PLACE_20|AREALAND_PART|AREAWATER_PART
221704258328518|28627|ZCTA5 28627|66744363|187671|G6350|B5|S|||||||||66744363|187671
221704258328519|28628|ZCTA5 28628|731314|0|G6350|B5|S|27890303214815|3726200|Glen Alpine town|5560501|0|G4110|C1|A|731314|0
221704258328520|28629|ZCTA5 28629|6658752|5746|G6350|B5|S|||||||||6658752|5746
221704258328539|28630|ZCTA5 28630|157942007|4945782|G6350|B5|S|||||||||134404573|4816948
221704258328539|28630|ZCTA5 28630|157942007|4945782|G6350|B5|S|27890306650991|3709530|Cajah's Mountain town|8777851|0|G4110|C1|A|64519|0
221704258328539|28630|ZCTA5 28630|157942007|4945782|G6350|B5|S|27890306650994|3727420|Granite Falls town|12776408|114143|G4110|C1|A|12743463|114143
221704258328539|28630|ZCTA5 28630|157942007|4945782|G6350|B5|S|27890306650996|3737760|Lenoir city|53936727|15935|G4110|C1|A|79381|0
221704258328539|28630|ZCTA5 28630|157942007|4945782|G6350|B5|S|28090306650997|3747695|Northlakes CDP|3864189|1078630|G4210|U1|S|233870|0
221704258328539|28630|ZCTA5 28630|157942007|4945782|G6350|B5|S|27890303214819|3756240|Rhodhiss town|3076227|185754|G4110|C1|A|48570|0
221704258328539|28630|ZCTA5 28630|157942007|4945782|G6350|B5|S|27890303214820|3758440|Rutherford College town|5950284|0|G4110|C1|A|93183|0
221704258328539|28630|ZCTA5 28630|157942007|4945782|G6350|B5|S|27890306650998|3759540|Sawmills town|17104683|18886|G4110|C1|A|10274448|14691
221704258328540|28631|ZCTA5 28631|60216884|852040|G6350|B5|S|||||||||60216884|852040
221704258328545|28634|ZCTA5 28634|161023880|1145716|G6350|B5|S|||||||||157510776|1132306
221704258328545|28634|ZCTA5 28634|161023880|1145716|G6350|B5|S|27890322792847|3729640|Harmony town|3513104|13410|G4110|C1|A|3513104|13410
221704258328548|28635|ZCTA5 28635|146988450|0|G6350|B5|S|||||||||134071834|0
221704258328548|28635|ZCTA5 28635|146988450|0|G6350|B5|S|280901914487312|3730340|Hays CDP|15949371|0|G4210|U1|S|12916616|0
221704258328555|28636|ZCTA5 28636|149636682|413266|G6350|B5|S|||||||||145519867|385171
221704258328555|28636|ZCTA5 28636|149636682|413266|G6350|B5|S|280903931380975|3731260|Hiddenite CDP|4116815|28095|G4210|U1|S|4116815|28095
221704258328557|28637|ZCTA5 28637|6840919|0|G6350|B5|S|||||||||279302|0
221704258328557|28637|ZCTA5 28637|6840919|0|G6350|B5|S|27890303214816|3731500|Hildebran town|7325053|0|G4110|C1|A|6561617|0
221704258328567|28638|ZCTA5 28638|51721248|4195|G6350|B5|S|||||||||33893278|0
221704258328567|28638|ZCTA5 28638|51721248|4195|G6350|B5|S|27890306650991|3709530|Cajah's Mountain town|8777851|0|G4110|C1|A|191161|0
221704258328567|28638|ZCTA5 28638|51721248|4195|G6350|B5|S|27890306650994|3727420|Granite Falls town|12776408|114143|G4110|C1|A|32945|0
221704258328567|28638|ZCTA5 28638|51721248|4195|G6350|B5|S|27890306650995|3732980|Hudson town|9474000|0|G4110|C1|A|9468314|0
221704258328567|28638|ZCTA5 28638|51721248|4195|G6350|B5|S|27890306650996|3737760|Lenoir city|53936727|15935|G4110|C1|A|1305315|0
221704258328567|28638|ZCTA5 28638|51721248|4195|G6350|B5|S|27890306650998|3759540|Sawmills town|17104683|18886|G4110|C1|A|6830235|4195
221704258328578|28640|ZCTA5 28640|95981460|1252523|G6350|B5|S|||||||||90600926|1241803
221704258328578|28640|ZCTA5 28640|95981460|1252523|G6350|B5|S|27890294600295|3734440|Jefferson town|5386017|10720|G4110|C1|A|5380534|10720
2217026072908641|28641|ZCTA5 28641|226949|0|G6350|B5|S|||||||||226949|0
221704258328586|28642|ZCTA5 28642|83564713|749170|G6350|B5|S|||||||||76093329|713745
221704258328586|28642|ZCTA5 28642|83564713|749170|G6350|B5|S|27890336330064|3734840|Jonesville town|7471384|35425|G4110|C1|A|7471384|35425
221704258328595|28643|ZCTA5 28643|181201750|889167|G6350|B5|S|||||||||180245734|866989
221704258328595|28643|ZCTA5 28643|181201750|889167|G6350|B5|S|27890294600296|3736960|Lansing town|956016|22178|G4110|C1|A|956016|22178
221704258328598|28644|ZCTA5 28644|184967635|719916|G6350|B5|S|||||||||184967635|719916
221704258328637|28645|ZCTA5 28645|852362658|1110486|G6350|B5|S|||||||||767284690|1094551
221704258328637|28645|ZCTA5 28645|852362658|1110486|G6350|B5|S|27890306650990|3706500|Blowing Rock town|8393045|113630|G4110|C1|A|45599|0
221704258328637|28645|ZCTA5 28645|852362658|1110486|G6350|B5|S|27890306650991|3709530|Cajah's Mountain town|8777851|0|G4110|C1|A|8522171|0
221704258328637|28645|ZCTA5 28645|852362658|1110486|G6350|B5|S|27890306650992|3711352|Cedar Rock village|2954515|0|G4110|C1|A|2954515|0
221704258328637|28645|ZCTA5 28645|852362658|1110486|G6350|B5|S|27890306650993|3725380|Gamewell town|20997966|0|G4110|C1|A|20997966|0
221704258328637|28645|ZCTA5 28645|852362658|1110486|G6350|B5|S|27890306650995|3732980|Hudson town|9474000|0|G4110|C1|A|5686|0
221704258328637|28645|ZCTA5 28645|852362658|1110486|G6350|B5|S|27890306650996|3737760|Lenoir city|53936727|15935|G4110|C1|A|52552031|15935
221704258328645|28646|ZCTA5 28646|60112766|142202|G6350|B5|S|||||||||51281167|34119
221704258328645|28646|ZCTA5 28646|60112766|142202|G6350|B5|S|27890426704849|3727324|Grandfather Village village|4011424|108083|G4110|C1|A|4011424|108083
221704258328645|28646|ZCTA5 28646|60112766|142202|G6350|B5|S|2809015922680130|3738420|Linville CDP|4622192|0|G4210|U1|S|4331488|0
221704258328645|28646|ZCTA5 28646|60112766|142202|G6350|B5|S|27890426704851|3765530|Sugar Mountain village|6368234|0|G4110|C1|A|488687|0
221704258328655|28649|ZCTA5 28649|91924457|1831|G6350|B5|S|||||||||91924457|1831
221704258328665|28650|ZCTA5 28650|125948164|717527|G6350|B5|S|||||||||114087676|552891
221704258328665|28650|ZCTA5 28650|125948164|717527|G6350|B5|S|27890202935897|3740660|Maiden town|15079908|166462|G4110|C1|A|11860488|164636
221704258328672|28651|ZCTA5 28651|217982385|37105|G6350|B5|S|||||||||206941290|37105
221704258328672|28651|ZCTA5 28651|217982385|37105|G6350|B5|S|280901914487316|3743160|Millers Creek CDP|11590948|0|G4210|U1|S|11041095|0
221704258328673|28652|ZCTA5 28652|2989140|0|G6350|B5|S|||||||||2989140|0
2217026072908637|28653|ZCTA5 28653|108491|0|G6350|B5|S|||||||||108491|0
221704258328679|28654|ZCTA5 28654|159082974|42545|G6350|B5|S|||||||||153619448|22454
221704258328679|28654|ZCTA5 28654|159082974|42545|G6350|B5|S|280901914487319|3744280|Moravian Falls CDP|13300366|20091|G4210|U1|S|5463526|20091
221704258328730|28655|ZCTA5 28655|841720667|6473802|G6350|B5|S|||||||||770594141|6473802
221704258328730|28655|ZCTA5 28655|841720667|6473802|G6350|B5|S|27890303214814|3717860|Drexel town|3578551|0|G4110|C1|A|2356111|0
221704258328730|28655|ZCTA5 28655|841720667|6473802|G6350|B5|S|27890303214815|3726200|Glen Alpine town|5560501|0|G4110|C1|A|4829187|0
221704258328730|28655|ZCTA5 28655|841720667|6473802|G6350|B5|S|27890303214818|3744400|Morganton city|49841815|0|G4110|C1|A|49841815|0
221704258328730|28655|ZCTA5 28655|841720667|6473802|G6350|B5|S|28090303214821|3758740|Salem CDP|11119068|0|G4210|U1|S|11119068|0
221704258328730|28655|ZCTA5 28655|841720667|6473802|G6350|B5|S|27890303214823|3769520|Valdese town|20356370|34393|G4110|C1|A|2980345|0
221704258328757|28657|ZCTA5 28657|414401932|167336|G6350|B5|S|||||||||412174595|167336
221704258328757|28657|ZCTA5 28657|414401932|167336|G6350|B5|S|2809015922680130|3738420|Linville CDP|4622192|0|G4210|U1|S|290704|0
221704258328757|28657|ZCTA5 28657|414401932|167336|G6350|B5|S|27890426704850|3746740|Newland town|1936633|0|G4110|C1|A|1936633|0
221704258328789|28658|ZCTA5 28658|184674444|1195390|G6350|B5|S|||||||||142806942|1048032
221704258328789|28658|ZCTA5 28658|184674444|1195390|G6350|B5|S|27890202935893|3714340|Conover city|28932776|79576|G4110|C1|A|72187|0
221704258328789|28658|ZCTA5 28658|184674444|1195390|G6350|B5|S|27890202935894|3731060|Hickory city|79593389|257093|G4110|C1|A|3963860|7029
221704258328789|28658|ZCTA5 28658|184674444|1195390|G6350|B5|S|27890202935897|3740660|Maiden town|15079908|166462|G4110|C1|A|3180000|1826
221704258328789|28658|ZCTA5 28658|184674444|1195390|G6350|B5|S|27890202935899|3747000|Newton city|35730331|139564|G4110|C1|A|34651455|138503
221704258328807|28659|ZCTA5 28659|260635976|11719|G6350|B5|S|||||||||207369369|11719
221704258328807|28659|ZCTA5 28659|260635976|11719|G6350|B5|S|280901914487275|3715440|Cricket CDP|9160171|0|G4210|U1|S|8812944|0
221704258328807|28659|ZCTA5 28659|260635976|11719|G6350|B5|S|280901914487278|3722380|Fairplains CDP|10894639|0|G4210|U1|S|10894639|0
221704258328807|28659|ZCTA5 28659|260635976|11719|G6350|B5|S|280901914487312|3730340|Hays CDP|15949371|0|G4210|U1|S|3032755|0
221704258328807|28659|ZCTA5 28659|260635976|11719|G6350|B5|S|280901914487372|3745560|Mulberry CDP|13193085|0|G4210|U1|S|13193085|0
221704258328807|28659|ZCTA5 28659|260635976|11719|G6350|B5|S|278901914669247|3747880|North Wilkesboro town|17168406|0|G4110|C1|A|17125678|0
221704258328807|28659|ZCTA5 28659|260635976|11719|G6350|B5|S|278901914669250|3774020|Wilkesboro town|16356673|0|G4110|C1|A|207506|0
221704258328812|28660|ZCTA5 28660|82819192|637657|G6350|B5|S|||||||||82819192|637657
221704258328813|28662|ZCTA5 28662|2525287|0|G6350|B5|S|||||||||2525287|0
221704258328817|28663|ZCTA5 28663|53597326|276201|G6350|B5|S|||||||||53597326|276201
2217026072908631|28664|ZCTA5 28664|2315761|0|G6350|B5|S|||||||||2315761|0
221704258328822|28665|ZCTA5 28665|167779995|0|G6350|B5|S|||||||||167779995|0
221704258328823|28666|ZCTA5 28666|233990|0|G6350|B5|S|28090303214817|3733320|Icard CDP|9909477|24894|G4210|U1|S|233990|0
221704258328826|28667|ZCTA5 28667|1215958|219528|G6350|B5|S|||||||||89144|83204
221704258328826|28667|ZCTA5 28667|1215958|219528|G6350|B5|S|27890303214819|3756240|Rhodhiss town|3076227|185754|G4110|C1|A|1126814|136324
221704258328828|28668|ZCTA5 28668|30103176|214200|G6350|B5|S|||||||||30103176|214200
221704258328840|28669|ZCTA5 28669|124262092|251291|G6350|B5|S|||||||||124262092|251291
221704258328846|28670|ZCTA5 28670|98484073|687396|G6350|B5|S|||||||||94051508|687396
221704258328846|28670|ZCTA5 28670|98484073|687396|G6350|B5|S|280901914487496|3752920|Pleasant Hill CDP|6694302|2409|G4210|U1|S|1624958|0
221704258328846|28670|ZCTA5 28670|98484073|687396|G6350|B5|S|278901914669249|3757700|Ronda town|2807607|0|G4110|C1|A|2807607|0
221704258328847|28671|ZCTA5 28671|1067278|0|G6350|B5|S|27890303214820|3758440|Rutherford College town|5950284|0|G4110|C1|A|915534|0
221704258328847|28671|ZCTA5 28671|1067278|0|G6350|B5|S|27890303214823|3769520|Valdese town|20356370|34393|G4110|C1|A|151744|0
221704258328848|28672|ZCTA5 28672|4735679|420943|G6350|B5|S|||||||||4735679|420943
221704258328856|28673|ZCTA5 28673|61399111|11380593|G6350|B5|S|||||||||21591303|232703
